"filename", "language", "Markdown", "MS SQL", "C#", "JSON", "Python", "PowerShell", "XML", "Properties", "comment", "blank", "total"
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\staticwebassets.development.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Release\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Release\net9.0\ClassifiedAds.Api.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 10, 5, 24
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Release\net9.0\ClassifiedAds.Api.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, 21, 0, 1, 22
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Release\net9.0\ClassifiedAds.Api.GlobalUsings.g.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 1, 1, 18
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\project.assets.json", "JSON", 0, 0, 0, 2085, 0, 0, 0, 0, 0, 0, 2085
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\ClassifiedAds.Application.csproj", "XML", 0, 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Common\EnumQueryStringHelper.cs", "C#", 0, 0, 96, 0, 0, 0, 0, 0, 22, 19, 137
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Common\LanguageContext.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Common\README_MULTILINGUAL_QUERY-PARAMS.md", "Markdown", 179, 0, 0, 0, 0, 0, 0, 0, 0, 51, 230
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\AdDto.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 7, 7, 31
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Electronics\ComputerAdDto.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 1, 4, 21
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Electronics\ElectronicAdDto.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 1, 4, 15
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Electronics\HandheldDeviceAdDto.cs", "C#", 0, 0, 23, 0, 0, 0, 0, 0, 1, 4, 28
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Electronics\LaptopAdDto.cs", "C#", 0, 0, 25, 0, 0, 0, 0, 0, 1, 4, 30
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Electronics\TvMonitorAdDto.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 1, 4, 21
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Electronics\VideoConsoleAdDto.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 1, 4, 16
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Jobs\Cv\CvAdDto.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Jobs\Cv\EducationDto.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Jobs\Cv\ExperienceDto.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Jobs\Cv\LanguageDto.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Jobs\Service\DailyAvailabilityDto.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Jobs\Service\ServiceAdDto.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Jobs\Service\TimeSlotDto.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Jobs\VacancyAdDto.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Miscellaneous\BookAdDto.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 1, 3, 14
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Miscellaneous\ClothAdDto.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 1, 4, 16
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Miscellaneous\EngineOilAdDto.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 1, 4, 16
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Miscellaneous\FurnitureAdDto.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 1, 4, 17
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Miscellaneous\PlantAdDto.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 1, 4, 15
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Miscellaneous\ShoeAdDto.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 1, 4, 15
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Miscellaneous\TireWheelAdDto.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 1, 3, 14
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Miscellaneous\VideoGameAdDto.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 1, 4, 15
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\RealEstate\ApartmentAdDto.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 1, 4, 18
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\RealEstate\ConstructionProjectAdDto.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 1, 4, 14
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\RealEstate\HouseAdDto.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 1, 4, 18
